,folderName,precisionDetection,recallDetection,fscoreDetection,fireRate,precisionRepair,recallRepair,fscoreRepair,time,tpDetection,fpDetection,fnDetection,tnDetection,tpRepair,fpRepair,fnRepair,tnRepair
0,2.10_Budget_Presentation_Award_(summary),1.0,0.8888888888888888,0.9411764705882352,0.0833333333333333,1.0,0.8888888888888888,0.9411764705882352,1966.244484901428,8.0,0.0,1.0,87.0,8.0,0.0,1.0,87.0
1,3.09_Census_ACS_Post_Secondary_Education_(detail),1.0,0.8902439024390244,0.9419354838709678,0.08102108768035517,0.9090909090909091,0.4878048780487805,0.6349206349206349,2066.9150948524475,73.0,0.0,9.0,819.0,40.0,4.0,42.0,815.0
2,305b_Assessed_2008_Estuary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,305b_Assessed_2008_Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,305b_Assessed_Lake_2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,305b_Assessed_Lake_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Access_Control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,adult-smoking-prevalence,1.0,0.7457627118644068,0.8543689320388349,0.06790123456790123,0.7804878048780488,0.5423728813559322,0.64,688.7047057151794,44.0,0.0,15.0,589.0,32.0,9.0,27.0,580.0
8,AH_Provisional_Diabetes_Death_Counts_for_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Allegheny_County_Tobacco_Vendors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,BLM_AZ_Travel_Management_Plans_(Polygon),0.4025974025974026,0.4626865671641791,0.4305555555555556,0.11937984496124031,0.46153846153846156,0.26865671641791045,0.33962264150943394,2161.636036634445,31.0,46.0,36.0,532.0,18.0,21.0,49.0,557.0
11,BLM_AZ_Wild_and_Scenic_River_(Line),0.6923076923076923,0.7346938775510204,0.7128712871287128,0.11428571428571428,0.75,0.5510204081632653,0.6352941176470588,2537.633125782013,36.0,16.0,13.0,390.0,27.0,9.0,22.0,397.0
12,BLM_CA_Wilderness_Study_Areas,0.6788990825688074,0.6115702479338843,0.6434782608695652,0.1051108968177435,0.9,0.4462809917355372,0.5966850828729282,2094.189067363739,74.0,35.0,47.0,881.0,54.0,6.0,67.0,910.0
13,BLM_Colorado_NLCS_Wild_and_Scenic_Rivers_(Suitable_or_Eligible),1.0,0.14285714285714285,0.25,0.02535496957403651,0.9523809523809523,0.11428571428571428,0.20408163265306123,2969.311863183975,25.0,0.0,150.0,811.0,20.0,1.0,155.0,810.0
14,BLM_Idaho_Land_Use_Planning_Poly,0.8225806451612904,0.6623376623376623,0.7338129496402878,0.1336206896551724,0.8,0.4675324675324675,0.5901639344262295,2713.241263628006,51.0,11.0,26.0,376.0,36.0,9.0,41.0,378.0
15,BLM_Natl_ROW_Gateway_West_TLine_Line,0.8181818181818182,0.9,0.8571428571428572,0.0873015873015873,1.0,0.7,0.8235294117647058,824.5125095844269,9.0,2.0,1.0,114.0,7.0,0.0,3.0,116.0
16,BLM_Natl_WesternUS_GRSG_ROD_Habitat_Mgmt_Areas_February_2020,1.0,0.5,0.6666666666666666,0.02564102564102564,1.0,0.5,0.6666666666666666,693.44140458107,6.0,0.0,6.0,222.0,6.0,0.0,6.0,222.0
17,BLM_NV_Land_Use_Planning_Area_Existing_Polygons,0.7631578947368421,0.7837837837837838,0.7733333333333334,0.10133333333333333,0.9523809523809523,0.5405405405405406,0.6896551724137931,2470.6890671253204,29.0,9.0,8.0,329.0,20.0,1.0,17.0,337.0
18,BLM_OR_Administrative_Unit_Office_Point_Hub,0.6612903225806451,0.6307692307692307,0.6456692913385826,0.13839285714285715,0.7272727272727273,0.36923076923076925,0.4897959183673469,2643.4806036949158,41.0,21.0,24.0,362.0,24.0,9.0,41.0,374.0
19,BLM_OR_Other_National_Designation_Polygon_Hub,0.6382978723404256,0.6976744186046512,0.6666666666666666,0.13823529411764707,0.6470588235294118,0.5116279069767442,0.5714285714285715,1020.9066846370697,30.0,17.0,13.0,280.0,22.0,12.0,21.0,285.0
20,BLM_OR_SEORMP_FEIS_Lands_with_Wilderness_Characteristics_Polygon_Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,BLM_UT_Congressionally_Designated_Recreation_Areas_(Polygon),1.0,0.48148148148148145,0.65,0.0625,1.0,0.4074074074074074,0.5789473684210525,1452.5637657642365,13.0,0.0,14.0,181.0,11.0,0.0,16.0,181.0
22,BLM_UT_National_Scenic_and_Historic_Trails_(Arc),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,cdph_ssi_nosurgfac_odp_2019,0.75,0.66,0.702127659574468,0.08888888888888889,0.9473684210526315,0.36,0.5217391304347826,1311.0352137088776,33.0,11.0,17.0,434.0,18.0,1.0,32.0,444.0
24,Census_Tract_Boundary,1.0,0.8260869565217391,0.9047619047619047,0.02878787878787879,1.0,0.6521739130434783,0.7894736842105263,907.1163737773895,19.0,0.0,4.0,637.0,15.0,0.0,8.0,637.0
25,Centers_for_Medicare_&amp;_Medicaid_Services_(CMS)_EHR_Incentive_Program_Measures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,CT_305b_Assessed_Lake_2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Detroit_Future_City_50_Year_Land_Use_Zones,1.0,0.5,0.6666666666666666,0.058823529411764705,1.0,0.5,0.6666666666666666,336.2034242153168,2.0,0.0,2.0,30.0,2.0,0.0,2.0,30.0
28,Emergency_Operating_Center_Tools,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Environmental_Justice_Block_Groups_2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Field_Listings,0.5652173913043478,0.4921135646687697,0.5261382799325464,0.11311475409836065,0.6666666666666666,0.25236593059936907,0.36613272311212813,3098.0594470500946,156.0,120.0,161.0,2003.0,80.0,40.0,237.0,2083.0
31,Global_Surface_Summary_of_the_Day_-_GSOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Grocery_Stores_-_2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Health_conditions_among_children_under_age_18__by_selected_characteristics__United_States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
