,folderName,precisionDetection,recallDetection,fscoreDetection,fireRate,precisionRepair,recallRepair,fscoreRepair,time,tpDetection,fpDetection,fnDetection,tnDetection,tpRepair,fpRepair,fnRepair,tnRepair
0,2.10_Budget_Presentation_Award_(summary),0.8,0.4444444444444444,0.5714285714285714,0.052083333333333336,0.0,0.0,0.0,0.2206096649169922,4.0,1.0,5.0,86.0,0.0,5.0,9.0,82.0
1,3.09_Census_ACS_Post_Secondary_Education_(detail),0.8974358974358975,0.8536585365853658,0.875,0.08657047724750278,0.0,0.0,0.0,0.8219795227050781,70.0,8.0,12.0,811.0,0.0,78.0,82.0,741.0
2,305b_Assessed_2008_Estuary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,305b_Assessed_2008_Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,305b_Assessed_Lake_2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,305b_Assessed_Lake_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Access_Control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,adult-smoking-prevalence,0.7205882352941176,0.8305084745762712,0.7716535433070865,0.10493827160493827,0.0,0.0,0.0,0.4401829242706299,49.0,19.0,10.0,570.0,0.0,68.0,59.0,521.0
8,AH_Provisional_Diabetes_Death_Counts_for_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Allegheny_County_Tobacco_Vendors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,BLM_AZ_Travel_Management_Plans_(Polygon),0.6170212765957447,0.43283582089552236,0.5087719298245613,0.07286821705426356,0.0,0.0,0.0,0.8352952003479004,29.0,18.0,38.0,560.0,0.0,47.0,67.0,531.0
11,BLM_AZ_Wild_and_Scenic_River_(Line),0.875,0.7142857142857143,0.7865168539325842,0.08791208791208792,0.0,0.0,0.0,0.7812509536743164,35.0,5.0,14.0,401.0,0.0,40.0,49.0,366.0
12,BLM_CA_Wilderness_Study_Areas,0.719626168224299,0.6363636363636364,0.6754385964912281,0.10318225650916105,0.0,0.0,0.0,0.9666323661804199,77.0,30.0,44.0,886.0,0.0,107.0,121.0,809.0
