,folderName,precisionDetection,recallDetection,fscoreDetection,fireRate,precisionRepair,recallRepair,fscoreRepair,time,tpDetection,fpDetection,fnDetection,tnDetection,tpRepair,fpRepair,fnRepair,tnRepair
0,2.10_Budget_Presentation_Award_(summary),1.0,0.6666666666666666,0.8,0.0625,0.0,0.0,0.0,0.4055147171020508,6.0,0.0,3.0,87.0,0.0,6.0,9.0,81.0
1,3.09_Census_ACS_Post_Secondary_Education_(detail),0.8658536585365854,0.8658536585365854,0.8658536585365854,0.09100998890122086,0.0,0.0,0.0,2.2016441822052,71.0,11.0,11.0,808.0,0.0,82.0,82.0,737.0
2,305b_Assessed_2008_Estuary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,305b_Assessed_2008_Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,305b_Assessed_Lake_2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,305b_Assessed_Lake_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Access_Control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,adult-smoking-prevalence,0.6493506493506493,0.847457627118644,0.7352941176470589,0.11882716049382716,0.0,0.0,0.0,0.5157909393310547,50.0,27.0,9.0,562.0,0.0,77.0,59.0,512.0
8,AH_Provisional_Diabetes_Death_Counts_for_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Allegheny_County_Tobacco_Vendors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,BLM_AZ_Travel_Management_Plans_(Polygon),0.6097560975609756,0.373134328358209,0.4629629629629629,0.06356589147286822,0.0,0.0,0.0,0.8117475509643555,25.0,16.0,42.0,562.0,0.0,41.0,67.0,537.0
11,BLM_AZ_Wild_and_Scenic_River_(Line),0.8918918918918919,0.673469387755102,0.7674418604651163,0.08131868131868132,0.0,0.0,0.0,0.8283114433288574,33.0,4.0,16.0,402.0,0.0,37.0,49.0,369.0
12,BLM_CA_Wilderness_Study_Areas,0.8961038961038961,0.5702479338842975,0.6969696969696969,0.0742526518804243,0.0,0.0,0.0,1.0246667861938477,69.0,8.0,52.0,908.0,0.0,77.0,121.0,839.0
13,BLM_Colorado_NLCS_Wild_and_Scenic_Rivers_(Suitable_or_Eligible),1.0,0.14857142857142858,0.25870646766169153,0.02636916835699797,0.0,0.0,0.0,0.2308359146118164,26.0,0.0,149.0,811.0,0.0,26.0,175.0,785.0
14,BLM_Idaho_Land_Use_Planning_Poly,0.7631578947368421,0.7532467532467533,0.758169934640523,0.16379310344827586,0.0,0.0,0.0,1.208050012588501,58.0,18.0,19.0,369.0,0.0,76.0,77.0,311.0
15,BLM_Natl_ROW_Gateway_West_TLine_Line,0.8181818181818182,0.9,0.8571428571428572,0.0873015873015873,0.0,0.0,0.0,0.2848212718963623,9.0,2.0,1.0,114.0,0.0,11.0,10.0,105.0
16,BLM_Natl_WesternUS_GRSG_ROD_Habitat_Mgmt_Areas_February_2020,1.0,0.5,0.6666666666666666,0.02564102564102564,0.0,0.0,0.0,0.1490004062652588,6.0,0.0,6.0,222.0,0.0,6.0,12.0,216.0
17,BLM_NV_Land_Use_Planning_Area_Existing_Polygons,0.8275862068965517,0.6486486486486487,0.7272727272727273,0.07733333333333334,0.0,0.0,0.0,0.7514336109161377,24.0,5.0,13.0,333.0,0.0,29.0,37.0,309.0
18,BLM_OR_Administrative_Unit_Office_Point_Hub,0.7755102040816326,0.5846153846153846,0.6666666666666666,0.109375,0.0,0.0,0.0,0.8929579257965088,38.0,11.0,27.0,372.0,0.0,49.0,65.0,334.0
19,BLM_OR_Other_National_Designation_Polygon_Hub,0.6444444444444445,0.6744186046511628,0.6590909090909091,0.1323529411764706,0.0,0.0,0.0,0.6277239322662354,29.000000000000004,15.999999999999996,13.999999999999996,281.0,0.0,45.0,43.0,252.0
20,BLM_OR_SEORMP_FEIS_Lands_with_Wilderness_Characteristics_Polygon_Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,BLM_UT_Congressionally_Designated_Recreation_Areas_(Polygon),1.0,0.3333333333333333,0.5,0.04326923076923077,0.0,0.0,0.0,0.11458897590637207,9.0,0.0,18.0,181.0,0.0,9.0,27.0,172.0
22,BLM_UT_National_Scenic_and_Historic_Trails_(Arc),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,cdph_ssi_nosurgfac_odp_2019,0.6981132075471698,0.74,0.7184466019417476,0.10707070707070707,0.0,0.0,0.0,0.690640926361084,37.0,16.0,13.0,429.0,0.0,53.0,50.0,392.0
24,Census_Tract_Boundary,1.0,0.5652173913043478,0.7222222222222222,0.019696969696969695,0.0,0.0,0.0,0.5212891101837158,13.0,0.0,10.0,637.0,0.0,13.0,23.0,624.0
25,Centers_for_Medicare_&amp;_Medicaid_Services_(CMS)_EHR_Incentive_Program_Measures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,CT_305b_Assessed_Lake_2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Detroit_Future_City_50_Year_Land_Use_Zones,1.0,0.5,0.6666666666666666,0.058823529411764705,0.0,0.0,0.0,0.1531972885131836,2.0,0.0,2.0,30.0,0.0,2.0,4.0,28.0
28,Emergency_Operating_Center_Tools,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Environmental_Justice_Block_Groups_2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Field_Listings,0.5800711743772242,0.5141955835962145,0.5451505016722408,0.1151639344262295,0.0,0.0,0.0,1.943462610244751,163.0,118.0,154.0,2005.0,0.0,281.0,317.0,1842.0
31,Global_Surface_Summary_of_the_Day_-_GSOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Grocery_Stores_-_2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Health_conditions_among_children_under_age_18__by_selected_characteristics__United_States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,High_School_Attendance_Areas,0.9482758620689655,0.7051282051282052,0.8088235294117648,0.12210526315789473,0.0,0.0,0.0,1.0633161067962646,55.0,3.0,23.0,394.0,0.0,58.0,78.0,339.0
35,Historic_Zoning_Overlay_Districts,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.15333333333333332,0.0,0.0,0.0,0.5185708999633789,21.0,2.0,2.0,125.0,0.0,23.0,23.0,104.0
36,Illinois_Obesity_By_County,0.6666666666666666,0.11764705882352941,0.2,0.0058823529411764705,0.0,0.0,0.0,0.22970366477966309,2.0,1.0,15.0,492.0,0.0,3.0,17.0,490.0
37,Impaired_Estuary_2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Impaired_Lake_2010,0.7,0.7777777777777778,0.7368421052631577,0.08865248226950355,0.0,0.0,0.0,0.7318418025970459,35.0,15.0,10.0,504.0,0.0,50.0,45.0,469.0
39,Impaired_Lake_2012,0.821917808219178,0.6818181818181818,0.7453416149068322,0.11094224924012158,0.0,0.0,0.0,0.8557491302490234,60.0,13.0,28.0,557.0,0.0,73.0,88.0,497.0
40,Impaired_Lake_2020,0.9504132231404959,0.7516339869281046,0.8394160583941604,0.11690821256038647,0.0,0.0,0.0,1.5329084396362305,115.0,6.0,38.0,876.0,0.0,121.0,153.0,761.0
41,Jefferson_County_KY_Post_Offices,0.7727272727272727,0.6538461538461539,0.7083333333333333,0.0763888888888889,0.0,0.0,0.0,0.48024439811706543,17.0,5.0,9.0,257.0,0.0,22.0,26.0,240.0
42,KEEDPublishingSocioEconomic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,ksd244data646630094_schd_view,0.2077922077922078,0.4444444444444444,0.2831858407079646,0.02950191570881226,0.0,0.0,0.0,1.7651548385620117,16.0,61.0,20.0,2513.0,0.0,77.0,36.0,2497.0
44,LA_County_COVID_Cases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Legislative_Bridge_Names,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Louisville_KY_Metro_Council_Districts,0.8108108108108109,0.625,0.7058823529411764,0.09487179487179487,0.0,0.0,0.0,0.8812224864959717,30.0,7.0,18.0,335.0,0.0,37.0,48.0,305.0
47,Louisville_KY_Metro_Council_Districts_-_Former_from_2011,1.0,0.2857142857142857,0.4444444444444445,0.035897435897435895,0.0,0.0,0.0,0.23695993423461914,14.0,0.0,35.0,341.0,0.0,14.0,49.0,327.0
48,Louisville_Metro_KY_-_Inspection_Results_Pools,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Louisville_Metro_KY_-_Inspection_Results_School_Food_Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Louisville_Metro_KY_-_List_of_Locations_with_COVID_Related_Complaint_With_No_Violations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Louisville_Metro_KY_-_List_of_Locations_with_COVID_Related_Random_Survey_With_No_Violations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,0.6534653465346535,0.34554973821989526,0.452054794520548,0.059307105108631825,0.0,0.0,0.0,1.165402889251709,66.0,35.0,125.0,1477.0,0.0,101.0,191.0,1411.0
53,Louisville_Metro_KY_-_Permitted_Mobile_Home_Rec_Vehicle_Parks,1.0,0.3076923076923077,0.47058823529411764,0.019851116625310174,0.0,0.0,0.0,0.1566004753112793,8.0,0.0,18.0,377.0,0.0,8.0,26.0,369.0
54,Louisville_Metro_KY_-_Permitted_Swimming_Areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
