,folderName,precisionDetection,recallDetection,fscoreDetection,fireRate,precisionRepair,recallRepair,fscoreRepair,time,tpDetection,fpDetection,fnDetection,tnDetection,tpRepair,fpRepair,fnRepair,tnRepair
0,2.10_Budget_Presentation_Award_(summary),1.0,0.6666666666666666,0.8,0.0625,0.0,0.0,0.0,0.29219770431518555,6.0,0.0,3.0,87.0,0.0,6.0,9.0,81.0
1,3.09_Census_ACS_Post_Secondary_Education_(detail),1.0,0.8414634146341463,0.9139072847682119,0.07658157602663707,0.0,0.0,0.0,0.8009634017944336,69.0,0.0,13.0,819.0,0.0,69.0,82.0,750.0
2,305b_Assessed_2008_Estuary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,305b_Assessed_2008_Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,305b_Assessed_Lake_2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,305b_Assessed_Lake_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Access_Control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,adult-smoking-prevalence,0.8490566037735849,0.7627118644067796,0.8035714285714285,0.08179012345679013,0.0,0.0,0.0,0.3768119812011719,45.0,8.0,14.0,581.0,0.0,53.0,59.0,536.0
8,AH_Provisional_Diabetes_Death_Counts_for_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Allegheny_County_Tobacco_Vendors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,BLM_AZ_Travel_Management_Plans_(Polygon),0.4927536231884058,0.5074626865671642,0.5,0.10697674418604651,0.0,0.0,0.0,0.9218161106109619,34.0,35.0,33.0,543.0,0.0,69.0,67.0,509.0
11,BLM_AZ_Wild_and_Scenic_River_(Line),0.6515151515151515,0.8775510204081632,0.7478260869565216,0.14505494505494507,0.0,0.0,0.0,0.8633348941802979,43.0,23.0,6.0,383.0,0.0,66.0,49.0,340.0
